sc_gid,capacity_factor,global_horizontal_irradiance,capacity_mw,area_sq_km,latitude,longitude,distance_to_transmission_km
233,0.15381515,3.633840799,69.65913779,2.176848056,48.618,-114.886,7.133079343
234,0.147415265,3.498971701,61.81027734,1.931571167,48.637,-114.724,0.163175385
235,0.147470534,3.484422207,170.699052,5.334345374,48.656,-114.561,14.29803862
236,0.171402365,3.833936214,144.3398484,4.510620264,48.785,-113.422,4.72531736
237,0.170323014,3.814530134,1048.79553,32.77486033,48.803,-113.259,137.0367805
238,0.169539645,3.802531719,449.4496359,14.04530112,48.821,-113.096,60.1663599
239,0.171365693,3.843313456,823.8668836,25.74584011,48.838,-112.932,143.6605933
240,0.171757087,3.848148108,977.0625,30.53320313,48.856,-112.769,147.5023121
241,0.171999976,3.859999418,5.788800659,0.180900021,48.873,-112.605,7.393910184
242,0.170390531,3.829481363,1461.509831,45.67218223,48.89,-112.442,155.9348472
243,0.169999987,3.824373007,82.99959258,2.593737268,48.907,-112.278,3.553729565
244,0.169314951,3.818562508,733.5048656,22.92202705,48.923,-112.114,165.3459522
245,0.169583559,3.829075336,687.73455,21.49170469,48.94,-111.95,170.4187831
246,0.165412903,3.756534815,100.9517792,3.1547431,48.988,-111.457,27.63035188
247,0.165134043,3.752029419,51.56668828,1.611459009,49.004,-111.293,7.084705191
248,0.152577028,3.578579426,94.05273867,2.939148083,47.307,-68.363,3.659405475
249,0.15321447,3.582983017,295.6729078,9.239778369,47.278,-68.209,243.6957605
250,0.154613853,3.582808733,224.7765188,7.024266211,47.25,-68.054,244.0132844
251,0.152999982,3.556999683,2.042208174,0.063819005,47.222,-67.9,4.848522714
252,0.139752626,3.421022654,860.8181977,26.90056868,47.273,-123.257,7.212868234
253,0.140481248,3.44067955,1299.744858,40.61702681,47.301,-123.102,3.602867694
254,0.139462456,3.418138504,973.5903844,30.42469951,47.328,-122.946,2.264937285
255,0.138721228,3.38771534,559.0241578,17.46950493,47.356,-122.791,18.08923916
256,0.139815733,3.403113365,550.3138734,17.19730854,47.383,-122.636,0.135687275
257,0.139947042,3.405337811,35.69673955,1.115523111,47.41,-122.48,0.73173298
258,0.132632375,3.260084152,63.24451523,1.976391101,47.463,-122.169,0.933132771
259,0.129250616,3.187703848,216.0849656,6.752655176,47.49,-122.013,3.193138429
260,0.127288654,3.143909931,325.6882805,10.17775876,47.516,-121.856,1.903145987
261,0.125714481,3.102422714,106.0128,3.3129,47.542,-121.7,5.089673681
262,0.176900789,4.104866505,9.868030664,0.308375958,47.747,-120.445,3.76634425
263,0.1785824,4.111946583,25.55452705,0.79857897,47.772,-120.287,4.054960085
264,0.177347079,4.107213974,67.29091611,2.102841129,47.796,-120.129,6.79448585
265,0.179946855,4.149332523,227.6530629,7.114158215,47.821,-119.972,1.085738837
266,0.179721609,4.130912781,1704.278348,53.25869839,47.845,-119.814,0.132735383
267,0.178853691,4.109513283,578.1833156,18.06822861,47.869,-119.655,4.381090413
268,0.175999984,4.039546967,13.2281276,0.413378988,47.893,-119.497,9.680864304
269,0.176803991,4.042937279,415.6413117,12.98879099,47.917,-119.339,6.337366296
270,0.176144749,4.031569004,2033.939869,63.5606209,47.941,-119.18,8.602776232
